FIPS,County,Latitude,Longitude
12095,Orange,+28.514435°,–81.323295°
12097,Osceola,+28.059027°,–81.139312°
12099,Palm Beach,+26.645763°,–80.448673°
12101,Pasco,+28.302024°,–82.455707°
12103,Pinellas,+27.903122°,–82.739518°
12105,Polk,+27.953115°,–81.692783°
12107,Putnam,+29.606006°,–81.740894°
12109,St. Johns,+29.890593°,–81.383914°
12111,St. Lucie,+27.380775°,–80.443364°
12113,Santa Rosa,+30.703633°,–87.014255°
12115,Sarasota,+27.184386°,–82.365835°
12117,Seminole,+28.690079°,–81.131980°
12119,Sumter,+28.714294°,–82.074715°
12121,Suwannee,+30.189244°,–82.992754°
12123,Taylor,+30.016943°,–83.616417°
12125,Union,+30.054280°,–82.366918°
12127,Volusia,+29.057617°,–81.161813°
12129,Wakulla,+30.140378°,–84.375136°
12131,Walton,+30.631211°,–86.176614°
12133,Washington,+30.602217°,–85.662797°
13001,Appling,+31.739712°,–82.290103°
13003,Atkinson,+31.300562°,–82.883614°
13005,Bacon,+31.563327°,–82.387859°
13007,Baker,+31.319622°,–84.454857°
13009,Baldwin,+33.059532°,–83.255362°
13011,Banks,+34.351922°,–83.498441°
13013,Barrow,+33.992009°,–83.712303°
13015,Bartow,+34.240918°,–84.838188°
13017,Ben Hill,+31.740776°,–83.147190°
13019,Berrien,+31.274308°,–83.231906°
13021,Bibb,+32.808844°,–83.694193°
13023,Bleckley,+32.435403°,–83.331717°
13025,Brantley,+31.197334°,–81.982978°
13027,Brooks,+30.833696°,–83.588971°
13029,Bryan,+32.017969°,–81.438543°
13031,Bulloch,+32.393408°,–81.743810°
13033,Burke,+33.063737°,–82.003890°
13035,Butts,+33.290355°,–83.958221°
13037,Calhoun,+31.521279°,–84.626290°
13039,Camden,+30.916358°,–81.636516°
13043,Candler,+32.403986°,–82.071446°
13045,Carroll,+33.582237°,–85.080527°
13047,Catoosa,+34.899393°,–85.137353°
13049,Charlton,+30.779904°,–82.139644°
13051,Chatham,+31.974756°,–81.091768°
13053,Chattahoochee,+32.347445°,–84.788021°
13055,Chattooga,+34.474179°,–85.345289°
13057,Cherokee,+34.244317°,–84.475057°
13059,Clarke,+33.952234°,–83.367130°
13061,Clay,+31.619831°,–84.992583°
13063,Clayton,+33.552242°,–84.412977°
13065,Clinch,+30.917653°,–82.702614°
13067,Cobb,+33.939940°,–84.574166°
13069,Coffee,+31.549245°,–82.844938°
13071,Colquitt,+31.189758°,–83.769741°
13073,Columbia,+33.550556°,–82.251342°
13075,Cook,+31.152935°,–83.429552°
13077,Coweta,+33.352897°,–84.762138°
13079,Crawford,+32.709446°,–83.979182°
13081,Crisp,+31.914753°,–83.753338°
13083,Dade,+34.852424°,–85.506201°
13085,Dawson,+34.442842°,–84.173284°
13087,Decatur,+30.877961°,–84.577744°
13089,DeKalb,+33.770661°,–84.226343°
13091,Dodge,+32.160656°,–83.156818°
13093,Dooly,+32.151995°,–83.807167°
13095,Dougherty,+31.535068°,–84.214444°
13097,Douglas,+33.699317°,–84.765944°
13099,Early,+31.324191°,–84.906723°
13101,Echols,+30.708500°,–82.836132°
13103,Effingham,+32.361711°,–81.343337°
13105,Elbert,+34.115017°,–82.842057°
13107,Emanuel,+32.591100°,–82.299763°
13109,Evans,+32.151902°,–81.887618°
13111,Fannin,+34.863837°,–84.319287°
13113,Fayette,+33.412717°,–84.493941°
13115,Floyd,+34.263677°,–85.213730°
13117,Forsyth,+34.225143°,–84.127336°
13119,Franklin,+34.375155°,–83.227291°
13121,Fulton,+33.790034°,–84.468182°
13123,Gilmer,+34.690541°,–84.453984°
13125,Glascock,+33.227491°,–82.606913°
13127,Glynn,+31.212747°,–81.496517°
13129,Gordon,+34.509667°,–84.873862°
13131,Grady,+30.875863°,–84.244772°
13133,Greene,+33.576836°,–83.167103°
13135,Gwinnett,+33.959101°,–84.022938°
13137,Habersham,+34.635108°,–83.526406°
13139,Hall,+34.317588°,–83.818497°
13141,Hancock,+33.269220°,–83.000465°
13143,Haralson,+33.795165°,–85.220062°
13145,Harris,+32.731549°,–84.912432°
13147,Hart,+34.348733°,–82.963290°
13149,Heard,+33.290968°,–85.139594°
13151,Henry,+33.452881°,–84.154440°
13153,Houston,+32.458381°,–83.662856°
13155,Irwin,+31.604306°,–83.277037°
13157,Jackson,+34.134157°,–83.565133°
13159,Jasper,+33.314905°,–83.687892°
13161,Jeff Davis,+31.811615°,–82.636825°
13163,Jefferson,+33.051874°,–82.419050°
13165,Jenkins,+32.794563°,–81.971524°
13167,Johnson,+32.689831°,–82.661354°
13169,Jones,+33.020226°,–83.562339°
13171,Lamar,+33.074460°,–84.146721°
13173,Lanier,+31.038197°,–83.063164°
13175,Laurens,+32.393220°,–82.926317°
13177,Lee,+31.818419°,–84.146681°
13179,Liberty,+31.807245°,–81.457969°
13181,Lincoln,+33.792151°,–82.448299°
13183,Long,+31.749563°,–81.742870°
13185,Lowndes,+30.833680°,–83.268967°
13187,Lumpkin,+34.568149°,–83.998828°
13189,McDuffie,+33.482464°,–82.473188°
13191,McIntosh,+31.482978°,–81.370199°
13193,Macon,+32.366216°,–84.052162°
13195,Madison,+34.128486°,–83.203637°
13197,Marion,+32.359538°,–84.529561°
13199,Meriwether,+33.030220°,–84.663279°
13201,Miller,+31.162908°,–84.730386°
13205,Mitchell,+31.228940°,–84.192407°
13207,Monroe,+33.017435°,–83.922938°
13209,Montgomery,+32.172108°,–82.533349°
13211,Morgan,+33.593732°,–83.492324°
13213,Murray,+34.797097°,–84.737990°
13215,Muscogee,+32.510197°,–84.874946°
13217,Newton,+33.544046°,–83.855189°
13219,Oconee,+33.834125°,–83.437728°
13221,Oglethorpe,+33.866806°,–83.074081°
13223,Paulding,+33.920903°,–84.866979°
13225,Peach,+32.571324°,–83.831978°
13227,Pickens,+34.456621°,–84.490256°
13229,Pierce,+31.353988°,–82.210427°
13231,Pike,+33.090769°,–84.386627°
13233,Polk,+33.995961°,–85.186826°
13235,Pulaski,+32.238794°,–83.481855°
13237,Putnam,+33.321061°,–83.371790°
13239,Quitman,+31.861487°,–85.009317°
13241,Rabun,+34.883026°,–83.404735°
13243,Randolph,+31.762651°,–84.752311°
13245,Richmond,+33.361487°,–82.074998°
13247,Rockdale,+33.652081°,–84.026370°
13249,Schley,+32.263441°,–84.322724°
13251,Screven,+32.744751°,–81.617585°
13253,Seminole,+30.933894°,–84.867592°
13255,Spalding,+33.262389°,–84.286067°
13257,Stephens,+34.552914°,–83.290216°
13259,Stewart,+32.073225°,–84.834912°
13261,Sumter,+32.042203°,–84.204283°
13263,Talbot,+32.704603°,–84.530029°
13265,Taliaferro,+33.559314°,–82.875208°
13267,Tattnall,+32.043768°,–82.059208°
13269,Taylor,+32.554667°,–84.251426°
13271,Telfair,+31.913639°,–82.931062°
13273,Terrell,+31.777191°,–84.439446°
13275,Thomas,+30.864616°,–83.919783°
13277,Tift,+31.457003°,–83.525931°
13279,Toombs,+32.126698°,–82.332071°
13281,Towns,+34.902650°,–83.732158°
13283,Treutlen,+32.409586°,–82.570882°
13285,Troup,+33.034482°,–85.028360°
13287,Turner,+31.718232°,–83.628567°
13289,Twiggs,+32.665847°,–83.425879°
13291,Union,+34.833770°,–83.989573°
13293,Upson,+32.881837°,–84.292281°
13295,Walker,+34.735827°,–85.305385°
13297,Walton,+33.782649°,–83.734215°
13299,Ware,+31.050881°,–82.421507°
13301,Warren,+33.419169°,–82.688012°
13303,Washington,+32.971848°,–82.798112°
13305,Wayne,+31.547845°,–81.912376°
13307,Webster,+32.046554°,–84.553218°
13309,Wheeler,+32.109276°,–82.738701°
13311,White,+34.643677°,–83.743713°
13313,Whitfield,+34.801726°,–84.968541°
13315,Wilcox,+31.962717°,–83.438262°
13317,Wilkes,+33.779040°,–82.747922°
13319,Wilkinson,+32.804321°,–83.175587°
13321,Worth,+31.551773°,–83.849960°
15001,Hawaiʻi,+19.597764°,–155.502443°
